Date,Open,High,Low,Close,Volume
2016-05-06,160.824,162.118,160.633,162.062,1806049.8585321
2016-05-09,161.967,162.599,161.784,162.245,1807124.335572
2016-05-10,162.877,164.239,162.809,164.221,1187863.5766173
2016-05-11,163.816,164.112,162.685,162.695,3172154.571515
2016-05-12,163.337,163.471,161.784,162.751,2076071.1545495
2016-05-13,162.444,162.964,161.026,161.275,1930965.6382744
2016-05-16,161.468,163.357,161.429,162.897,1251641.6127931
2016-05-17,162.667,162.916,160.912,161.458,3868289.4683525
2016-05-18,161.065,162.541,160.443,161.429,2255188.5634525
2016-05-19,160.779,161.152,159.771,160.902,2089817.1583882
2016-05-20,161.458,162.398,161.402,161.908,1849451.4286702
2016-05-23,161.898,162.167,161.506,161.689,1647656.2951373
2016-05-24,162.474,164.055,162.426,163.75,2311329.4671929
2016-05-25,164.391,165.311,164.371,164.881,2336016.3595691
2016-05-26,165.052,165.253,164.65,164.956,1423484.9164545
2016-05-27,165.101,165.637,165.072,165.637,1150805.5937405
2016-05-31,165.934,166.031,164.833,165.428,3280891.6479459
2016-06-01,164.833,165.839,164.602,165.695,2762643.2057326
2016-06-02,165.331,166.203,164.871,166.203,1864542.0935811
2016-06-03,165.656,166.023,164.564,165.724,2208640.7576329
2016-06-06,166.05,166.837,165.896,166.51,1370852.2324083
2016-06-07,166.691,167.335,166.654,166.807,1805825.5744899
2016-06-08,166.93,167.469,166.807,167.381,1212009.0577472
2016-06-09,166.663,167.249,166.433,167.104,1771247.2342577
2016-06-10,165.848,166.174,165.042,165.512,2249189.2261165
2016-06-13,164.966,165.763,164.162,164.248,2695606.2702632
2016-06-14,163.922,164.449,163.049,163.893,2386922.5780805
2016-06-15,164.277,164.908,163.539,163.663,1851726.6077225
2016-06-16,162.867,164.342,161.987,164.181,3194839.5984161
2016-06-17,164.142,164.142,162.982,163.597,1980134.959435
2016-06-20,165.418,166.023,164.537,164.622,1387893.6468964
2016-06-21,165.034,165.456,164.574,165.091,2113308.5646601
2016-06-22,165.301,165.944,164.698,164.824,2595342.9579046
2016-06-23,166.203,166.99,165.753,166.97,2984517.4985497
2016-06-24,161.429,163.863,160.576,160.863,11942648.518207
2016-06-27,159.781,159.781,157.382,158.016,8941088.561987
2016-06-28,159.608,160.951,159.32,160.941,5183221.951518
2016-06-29,162.254,163.903,162.187,163.72,4804302.9291046
2016-06-30,164.122,165.963,163.633,165.934,4427163.5744873
2016-07-01,165.829,166.721,165.819,166.251,2514720.6685616
2016-07-05,165.522,165.59,164.497,165.121,2584955.9987924
2016-07-06,164.631,166.193,163.98,166.088,2545828.3436371
2016-07-07,166.223,166.827,165.291,165.973,1974907.5764771
2016-07-08,167.16,168.658,166.96,168.477,2372919.9515702
2016-07-11,168.879,169.566,168.696,169.1,4158949.0689874
2016-07-12,169.905,170.534,169.703,170.257,2728856.6403287
2016-07-13,170.67,170.67,169.777,170.19,3205494.6551974
2016-07-14,171.436,171.619,170.833,171.227,4275346.2278488
2016-07-15,171.735,171.735,170.554,170.948,2718009.6381344
2016-07-18,171.073,171.562,170.843,171.436,1337800.0668452
2016-07-19,171.055,171.295,170.823,171.276,1162161.6685518
2016-07-20,171.725,172.184,171.314,171.937,1270231.1087638
2016-07-21,171.858,172.067,170.909,171.314,5223812.1472654
2016-07-22,171.466,172.127,171.217,172.077,1944840.9966306
2016-07-25,171.888,171.946,171.092,171.658,1358293.3692214
2016-07-26,171.533,172.022,170.909,171.648,1627843.1471591
2016-07-27,172.05,172.087,170.793,171.542,2455865.4063188
2016-07-28,171.359,171.984,170.909,171.735,1085603.6146916
2016-07-29,171.476,172.318,171.237,172.05,2037110.408449
2016-08-01,172.077,172.414,171.436,171.811,2445808.0925896
2016-08-02,171.609,171.743,169.941,170.757,4732746.9309783
2016-08-03,170.71,171.324,170.412,171.295,2383296.4788665
2016-08-04,171.368,171.706,170.978,171.426,1604006.4477804
2016-08-05,172.087,172.855,171.965,172.807,2106538.3161276
2016-08-08,173.036,173.124,172.463,172.713,1668017.1134513
2016-08-09,172.826,173.278,172.532,172.836,2109455.051859
2016-08-10,172.972,173.017,172.077,172.395,1414670.0320016
2016-08-11,172.944,173.412,172.663,173.25,1905481.7551618
2016-08-12,172.954,173.268,172.683,173.094,1991124.8775074
2016-08-15,173.412,173.862,173.372,173.536,1217690.2246976
2016-08-16,173.212,173.241,172.663,172.663,2003209.09307
2016-08-17,172.693,173.144,171.917,172.972,3657674.2344587
2016-08-18,173.001,173.382,172.885,173.353,6036298.3029744
2016-08-19,172.972,173.278,172.483,173.154,1379365.6373812
2016-08-22,172.934,173.295,172.548,173.134,1019789.2880479
2016-08-23,173.661,173.957,173.382,173.412,1406753.3268994
2016-08-24,173.324,173.392,172.194,172.587,1344209.3745469
2016-08-25,172.204,172.845,172.087,172.444,1462575.0170726
2016-08-26,172.625,173.536,171.333,172.127,3348322.9060572
2016-08-29,172.254,173.232,172.214,173.017,1321179.0545388
2016-08-30,172.914,173.183,172.194,172.663,1630157.967112
2016-08-31,172.404,172.493,171.496,172.204,2714989.6274253
2016-09-01,172.224,172.463,171.157,172.214,2543821.2622541
2016-09-02,173.036,173.362,172.463,173.001,1802119.1502934
2016-09-06,173.259,173.526,172.587,173.49,1841302.094073
2016-09-07,173.353,173.631,172.954,173.49,1685897.2459394
2016-09-08,173.222,173.432,172.826,173.134,2525735.6229923
2016-09-09,171.868,171.956,168.935,168.935,3973855.2727435
2016-09-12,168.208,171.753,168.15,171.377,3243543.6605867
2016-09-13,170.171,170.403,168.3,168.897,3876851.9028603
2016-09-14,168.955,170.057,168.3,168.801,3420729.0971811
2016-09-15,168.667,170.889,168.541,170.534,2161558.842838
2016-09-16,169.96,170.115,169.279,169.836,2045988.926979
2016-09-19,170.506,171.092,169.636,169.895,2376898.6461623
2016-09-20,170.71,170.853,169.875,169.913,1492096.0129464
2016-09-21,170.564,172.004,169.923,171.848,2581618.8608793
2016-09-22,172.787,173.203,172.54,172.885,2554542.0394756
2016-09-23,172.54,172.663,171.898,171.956,1630102.6784876
2016-09-26,171.266,171.359,170.394,170.584,2827122.2599383
2016-09-27,170.421,171.696,170.096,171.609,1692901.1671485
2016-09-28,171.858,172.625,170.948,172.54,1637416.4246295
2016-09-29,172.318,172.663,170.43,170.928,2378344.4958489
2016-09-30,171.696,172.865,171.476,172.3,3629555.2746445
2016-10-03,171.858,172.012,171.247,171.743,2461520.4937293
2016-10-04,171.917,172.107,170.375,170.958,3282636.8907494
2016-10-05,171.496,172.077,171.456,171.648,1299353.6092695
2016-10-06,171.466,172.004,170.968,171.868,1283953.1194259
2016-10-07,172.059,172.214,170.524,171.257,2070136.4944723
2016-10-10,172.077,172.512,171.975,172.032,1496149.8166132
2016-10-11,171.687,171.753,169.299,169.905,3047668.5825886
2016-10-12,170.057,170.604,169.606,170.134,1682127.1876656
2016-10-13,168.955,170.047,168.15,169.606,2774771.234922
2016-10-14,170.524,170.938,169.616,169.626,1405544.2794341
2016-10-17,169.636,169.875,168.935,169.166,1525854.4124474
2016-10-18,170.574,170.624,169.787,170.125,1456917.8432988
2016-10-19,170.385,170.899,170.067,170.604,1200886.6556126
2016-10-20,170.276,170.793,169.693,170.316,1510444.5339693
2016-10-21,169.566,170.459,169.445,170.365,1587206.0082401
2016-10-24,171.167,171.397,170.775,171.073,942109.81397613
2016-10-25,170.948,171.187,170.375,170.584,1689315.7520165
2016-10-26,169.73,170.71,169.566,170.19,1386475.9631127
2016-10-27,170.862,170.889,169.646,169.721,1885878.2866837
2016-10-28,169.703,170.296,168.57,169.241,3035233.8580113
2016-10-31,169.538,169.721,169.1,169.241,2094491.6551023
2016-11-01,169.556,169.566,166.874,168.032,2832940.0836774
2016-11-02,167.727,168.062,166.577,166.91,3915811.6057792
2016-11-03,167.18,167.371,165.973,166.251,1743792.7811176
2016-11-04,166.308,167.104,165.905,166.059,2561867.2606152
2016-11-07,168.349,169.721,168.208,169.674,3112279.0776751
2016-11-08,169.396,170.988,169.136,170.469,3515550.1311737
2016-11-09,169.06,172.865,169.04,172.292,7056278.4932536
